Date,Open,High,Low,Close,Adj Close,Volume
42928,109.199997,109.370003,109.059998,109.169998,108.53746,2861400
42929,109.150002,109.5,109.080002,109.209999,108.577225,2247200
42930,109.199997,109.480003,109.160004,109.400002,108.766129,1782000
42933,109.400002,109.620003,109.370003,109.449997,108.815834,2083200
42934,109.449997,109.639999,109.370003,109.459999,108.825783,1521700
42935,109.449997,109.650002,109.410004,109.599998,108.964966,1302300
42936,109.5,109.809998,109.410004,109.709999,109.074326,1497800
42937,109.599998,109.889999,109.550003,109.860001,109.223465,1321200
42940,109.830002,109.839996,109.550003,109.550003,108.91526,1583800
42941,109.559998,109.93,109.550003,109.709999,109.074326,2426000
42942,109.75,109.949997,109.75,109.93,109.293053,2711500
42943,109.849998,110.43,109.839996,110.339996,109.700676,2846900
42944,110.120003,110.400002,110.050003,110.220001,109.581375,2041500
42947,110.25,110.389999,110.080002,110.330002,109.690735,2535100
42948,110.300003,111.199997,110.199997,111.099998,110.456276,3760200
42949,111.080002,111.220001,110.849998,110.879997,110.237549,3406700
42950,110.519997,111.059998,110.43,110.660004,110.018829,1908400
42951,112.019997,112.790001,111.75,112.419998,111.768631,5618300
42954,112.650002,113.199997,112.419998,112.959999,112.305496,2353300
42955,113.019997,113.389999,112.82,112.980003,112.325386,1577000
42956,112.599998,113.099998,112.57,113.089996,112.434746,1113600
42957,112.849998,112.849998,112.080002,112.120003,111.470375,2215200
42958,111.57,112.279999,111.57,112.199997,111.549904,2038100
42961,112.5,112.800003,112.330002,112.519997,111.86805,1024400
42962,112.650002,112.830002,112.510002,112.830002,112.176254,838200
42963,112.809998,112.849998,112.550003,112.790001,112.136482,498500
42964,112.790001,112.849998,112.339996,112.470001,111.818336,1318200
42965,112.699997,112.699997,112.389999,112.449997,111.798447,704800
42968,112.589996,112.68,112.18,112.349998,111.699028,888500
42969,112.449997,112.739998,112.339996,112.349998,111.699028,514800
42970,112.510002,112.510002,112.300003,112.300003,111.64933,892500
42971,112.379997,112.480003,111.940002,112.010002,111.361008,1174400
42972,112.099998,112.349998,111.900002,112.230003,111.579727,1086000
42975,112.160004,112.739998,112,112.57,111.917755,1287600
42976,112.25,112.599998,112.220001,112.309998,111.659264,1193900
42977,112.309998,112.580002,112.290001,112.400002,111.748749,981100
42978,112.43,113.059998,112.370003,112.959999,112.305496,2329300
42979,112.800003,113.190002,112.800003,112.900002,112.24585,1229800
42983,112.559998,112.849998,112.290001,112.419998,111.768631,1525400
42984,112.57,112.57,111.75,112.160004,111.510139,2330500
42985,112.230003,112.75,112.139999,112.660004,112.00724,933600
42986,112.400002,112.480003,112.160004,112.300003,111.64933,640500
42989,112.5,112.699997,112.260002,112.550003,111.897873,630900
42990,112.660004,112.809998,112.639999,112.779999,112.126541,1041100
42991,112.709999,112.809998,112.599998,112.629997,111.977409,1103000
42992,112.459999,112.75,112.32,112.400002,111.748749,1773600
42993,112.5,112.839996,112.43,112.839996,112.186188,1775700
42996,112.860001,113.230003,112.800003,112.989998,112.335327,1648000
42997,112.910004,113.050003,112.830002,112.919998,112.265732,935400
42998,112.849998,112.949997,112.5,112.550003,111.897873,1244100
42999,112.489998,112.849998,112.339996,112.720001,112.066895,1369000
43000,112.550003,112.769997,112.489998,112.639999,111.98735,733900
43003,112.550003,112.629997,112.360001,112.419998,111.768631,2387500
43004,112.400002,112.599998,112.309998,112.370003,111.718918,1232400
43005,112.400002,112.889999,112.400002,112.730003,112.076836,1190000
43006,112.699997,113.07,112.610001,112.870003,112.216019,1592200
43007,112.959999,113.400002,112.830002,113.089996,112.434746,1806300
43010,113.150002,113.389999,112.849998,113.120003,112.464577,2505600
43011,113.220001,113.43,113.010002,113.360001,112.703178,1228700
43012,113.300003,113.800003,113.099998,113.709999,113.051155,1681900
43013,113.75,113.830002,113.559998,113.68,113.021324,913600
43014,114,114.419998,113.900002,113.949997,113.289764,2859200
43017,114.099998,114.669998,113.989998,114.519997,113.856461,1834600
43018,114.650002,115.169998,114.459999,115,114.333679,2833300
43019,114.940002,115.610001,114.830002,115.459999,114.791016,2268700
43020,115.150002,115.349998,114.800003,115.18,114.512634,1273700
43021,115.68,115.68,115.040001,115.169998,114.502693,1311300
43024,115.510002,115.519997,114.760002,114.940002,114.274033,1369500
43025,114.970001,115.199997,114.919998,115.150002,114.482811,1402500
43026,115.029999,115.510002,115.029999,115.360001,114.691597,2151300
43027,115.150002,115.489998,115.010002,115.489998,114.820839,1196300
43028,115.699997,115.940002,115.400002,115.879997,115.20858,3369000
43031,115.709999,116.440002,115.709999,116.400002,115.725563,1818400
43032,116.5,117,116.400002,116.790001,116.113312,1674000
43033,116.589996,116.790001,116.239998,116.489998,115.815048,1902900
43034,117.660004,118,116.610001,116.620003,115.94429,4338700
43035,116.870003,117.300003,116.82,116.93,116.252495,3128800
43038,116.43,116.970001,116.279999,116.730003,116.053658,2878200
43039,116.699997,117.07,116.5,117.050003,116.371803,2188100
43040,117.050003,117.730003,116.889999,117.300003,116.620361,2902500
43041,117.029999,117.730003,116.57,117.459999,116.779427,3185900
43042,117.449997,118.199997,111.370003,115.019997,114.353561,25791200
43045,115.019997,116.879997,115.019997,116.720001,116.043716,8836900
43046,116.32,116.980003,116,116.660004,115.984062,3361600
43047,116.699997,117.559998,116.25,116.339996,115.665909,5526300
43048,116.120003,116.599998,114.989998,115.309998,114.641876,3342800
43049,115.260002,116.25,115.040001,116.050003,115.377602,2392800
43052,116.120003,116.199997,115.529999,115.650002,114.979919,2472600
43053,115.599998,115.949997,115.019997,115.5,114.83078,3542500
43054,115.419998,115.43,114.720001,115,114.333679,2949700
43055,115.199997,115.879997,115.050003,115.190002,114.522575,3501100
43056,115.379997,115.699997,115.199997,115.5,114.83078,2030600
43059,115.510002,115.910004,115.139999,115.18,114.512634,1414800
43060,115.220001,115.610001,115.150002,115.32,114.651825,1881100
43061,115.32,115.860001,115.07,115.150002,114.482811,1434500
43063,114.809998,115.199997,114.540001,114.650002,113.98571,1942400
43066,114.5,115.080002,114.440002,114.529999,113.866402,2368900
43067,114.650002,114.849998,113.779999,113.790001,113.130692,3850700
43068,113.849998,114.169998,112.5,113,112.345268,6117100
43069,113.110001,114.18,112.949997,113.389999,112.733009,3727800
43070,114.010002,115,113.93,114.779999,114.114952,4934900
43073,115,115.050003,113.75,113.870003,113.210228,2772600
43074,113.699997,114.290001,113.529999,113.75,113.090927,3482900
43075,114.139999,115,113.400002,114.330002,113.667564,2388300
43076,114.5,115.279999,114.25,115.129997,114.462921,2100700
43077,115.150002,115.849998,115.129997,115.290001,114.621994,2112300
43080,116.400002,116.599998,115.629997,115.839996,115.168808,2542600
43081,116.110001,116.32,115.5,115.639999,114.969971,1345800
43082,115.650002,116.099998,115.610001,116.059998,115.387535,1560700
43083,115.959999,116.099998,115.629997,115.879997,115.20858,4910000
43084,115.849998,116.349998,115.470001,116.349998,115.675858,1989700
43087,116.220001,116.919998,116.07,116.790001,116.113312,1332400
43088,116.629997,117,116.300003,116.449997,115.775276,1348000
43089,116.559998,116.889999,116.400002,116.739998,116.063599,1450400
43090,116.730003,116.910004,116.599998,116.699997,116.023827,1012300
43091,116.720001,117.379997,116.610001,116.699997,116.023827,1442500
43095,116.610001,116.839996,116.489998,116.57,115.894585,736600
43096,116.699997,116.870003,116.470001,116.690002,116.013893,9765500
43097,116.629997,117.120003,116.550003,116.980003,116.302216,812400
43098,116.93,117.400002,116.910004,117.089996,116.411568,1577400
